,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,target
639,2,male,39.0,0,0,13.0,S,0
640,2,male,24.0,0,0,13.0,S,0
641,1,female,62.0,0,0,80.0,,1
642,1,male,36.0,1,2,120.0,S,1
643,1,female,33.0,1,0,90.0,Q,1
644,3,female,23.0,0,0,7.925,S,0
645,2,male,36.5,0,2,26.0,S,0
646,3,male,26.0,0,0,7.8958,S,0
647,3,male,32.0,0,0,7.8542,S,1
648,3,male,,0,0,7.8958,S,0
649,3,female,30.0,0,0,8.6625,S,0
650,1,male,,0,0,26.55,S,1
651,3,male,,0,0,7.75,Q,0
652,1,male,51.0,0,1,61.3792,C,0
653,3,male,36.0,1,1,24.15,S,0
654,2,female,29.0,1,0,26.0,S,1
655,3,male,25.0,1,0,7.775,S,0
656,1,male,11.0,1,2,120.0,S,1
657,2,male,31.0,0,0,10.5,S,0
658,1,male,58.0,0,2,113.275,C,0
659,3,male,16.0,4,1,39.6875,S,0
660,3,female,,0,2,22.3583,C,1
661,3,male,18.0,0,0,8.05,S,1
662,3,male,27.0,0,0,8.6625,S,1
663,3,female,9.0,4,2,31.275,S,0
664,3,male,40.0,1,4,27.9,S,0
665,1,male,,0,0,0.0,S,0
666,2,female,42.0,1,0,26.0,S,1
667,3,male,30.0,0,0,7.225,C,0
668,1,male,38.0,0,0,0.0,S,0
669,1,male,38.0,0,1,153.4625,S,0
670,2,male,23.0,0,0,10.5,S,0
671,1,female,44.0,0,1,57.9792,C,1
672,1,male,49.0,1,0,56.9292,C,1
673,3,male,39.0,0,0,24.15,S,0
674,3,male,9.0,4,2,31.3875,S,0
675,3,female,8.0,3,1,21.075,S,0
676,3,female,20.0,0,0,8.6625,S,0
677,3,male,65.0,0,0,7.75,Q,0
678,3,female,5.0,2,1,19.2583,C,1
679,3,male,17.0,0,0,7.125,S,0
680,2,female,42.0,0,0,13.0,S,1
681,3,female,43.0,1,6,46.9,S,0
682,3,male,,0,0,7.8958,S,0
683,3,male,35.0,0,0,7.05,S,0
684,2,female,35.0,0,0,21.0,S,1
685,3,male,24.0,0,0,7.05,S,0
686,3,female,22.0,0,0,7.775,S,1
687,3,male,,0,0,7.75,Q,0
688,1,male,34.0,0,0,26.55,S,1
689,3,male,38.0,0,0,7.8958,S,0
690,3,male,23.5,0,0,7.2292,C,0
691,3,male,18.0,0,0,8.3,S,0
692,2,male,33.0,0,0,12.275,S,0
693,3,female,,0,2,15.2458,C,0
694,1,female,51.0,1,0,77.9583,S,1
695,1,male,60.0,0,0,26.55,S,0
696,3,male,43.0,0,0,8.05,S,0
697,3,female,,0,0,7.8792,Q,1
698,3,male,24.0,0,0,7.4958,S,0
699,3,male,27.0,0,0,7.8958,S,0
700,1,female,30.0,0,0,56.9292,C,1
701,3,male,25.0,0,0,7.225,C,0
702,3,female,,3,1,25.4667,S,0
703,1,female,32.0,0,0,76.2917,C,1
704,1,male,37.0,1,1,52.5542,S,1
705,3,male,24.0,0,0,7.8958,S,0
706,1,male,,0,0,35.5,S,1
707,1,female,18.0,2,2,262.375,C,1
708,2,female,40.0,1,1,39.0,S,1
709,3,female,1.0,1,1,11.1333,S,1
710,1,male,60.0,1,1,79.2,C,1
711,1,female,19.0,1,0,91.0792,C,1
